"title","year","certificate","runtime","genre","filmcontent","director__001","director__002","director__003","gross"
"Driving Miss Daisy","1989","PG","99","Drama","An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.","Bruce Beresford","","","106.59"
"Dances with Wolves","1990","PG-13","181","Adventure, Drama, Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.","Kevin Costner","","","184.21"
"The Silence of the Lambs","1991","R","118","Crime, Drama, Thriller","A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Jonathan Demme","","","130.74"
"Unforgiven","1992","R","130","Drama, Western","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.","Clint Eastwood","","","101.16"
"Schindler's List","1993","R","195","Biography, Drama, History","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.","Steven Spielberg","","","96.07"
"Forrest Gump","1994","PG-13","142","Drama, Romance","The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","Robert Zemeckis","","","330.25"
"Braveheart","1995","R","178","Biography, Drama, History","When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.","Mel Gibson","","","75.60"
"The English Patient","1996","R","162","Drama, Romance, War","At the close of WWII, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.","Anthony Minghella","","","78.65"
"Titanic","1997","PG-13","194","Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","James Cameron","","","659.33"
"Shakespeare in Love","1998","R","123","Comedy, Drama, History","A young Shakespeare, out of ideas and short of cash, meets his ideal woman and is inspired to write one of his most famous plays.","John Madden","","","100.32"
"American Beauty","1999","R","122","Drama","A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.","Sam Mendes","","","130.10"
"Gladiator","2000","R","155","Action, Adventure, Drama","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","Ridley Scott","","","187.71"
"A Beautiful Mind","2001","PG-13","135","Biography, Drama","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Ron Howard","","","170.74"
"Chicago","2002","PG-13","113","Comedy, Crime, Musical","Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.","Rob Marshall","","","170.69"
"The Lord of the Rings: The Return of the King","2003","PG-13","201","Adventure, Drama, Fantasy","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","Peter Jackson","","","377.85"
"Crash","null","R","112","Crime, Drama, Thriller","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","Paul Haggis","","","54.58"
"Million Dollar Baby","2004","PG-13","132","Drama, Sport","A determined woman works with a hardened boxing trainer to become a professional.","Clint Eastwood","","","100.49"
"The Departed","2006","R","151","Crime, Drama, Thriller","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","Martin Scorsese","","","132.38"
"No Country for Old Men","2007","R","122","Crime, Drama, Thriller","Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.","Ethan Coen","Joel Coen","","74.28"
